studentid;emaildatum;anzahl_emails
31235835;25.03.2020;2
31240521;12.12.2019;2
31246749;03.04.2020;6
31230093;03.04.2020;6
31260822;19.04.2020;3
31255497;20.04.2020;3
31233570;05.05.2020;1
31237776;02.05.2020;11
31233402;02.05.2020;2
31221936;09.05.2020;2
31230087;04.05.2020;11
31245648;04.05.2020;6
31225890;04.05.2020;2
31250676;08.05.2020;3
31208013;28.05.2020;11
31255446;23.05.2020;15
31255590;24.05.2020;15
27412290;28.05.2020;15
31230561;26.05.2020;2
31241523;28.05.2020;2
31143495;31.05.2020;6
31250253;31.05.2020;15
31244151;03.06.2020;6
31228080;04.06.2020;6
31246512;05.06.2020;6
31216167;06.06.2020;1
31257924;07.06.2020;5
31247265;09.06.2020;15
31195467;09.06.2020;15
31250871;10.06.2020;5
31240686;11.06.2020;5
30558822;17.06.2020;5
31228584;15.06.2020;2
31256148;18.06.2020;15
30719517;18.06.2020;2
30935664;21.06.2020;15
31239567;26.06.2020;5
31260249;28.06.2020;15
31290315;30.06.2020;5
31246029;30.06.2020;15
30278181;24.06.2020;1
31239048;14.07.2020;15
31261452;18.07.2020;5
31245228;29.07.2020;4
30805596;09.08.2020;2
31240908;09.08.2020;1
31235205;20.08.2020;2
31229292;27.08.2020;2
27293442;28.08.2020;3
31236231;28.08.2020;2
30593349;25.08.2020;12
31238961;25.08.2020;1
31243137;05.09.2020;2
31239546;10.09.2020;2
31246611;10.09.2020;3
31224585;18.09.2020;3
27733200;27.09.2020;2
31176276;11.07.2019;1
31236123;13.12.2019;2
31237923;27.11.2020;1
31241841;09.12.2020;2
31237836;10.12.2020;2
31195467;11.12.2020;1
31251216;24.12.2020;2
27282177;30.12.2020;2
31205766;03.01.2021;3
30839049;13.01.2020;2
31251738;13.01.2020;2
31246947;13.01.2020;2
30432786;13.01.2020;1
31228464;13.01.2020;1
31224585;13.01.2020;1
31234041;14.01.2020;1
31231719;20.01.2020;1
31064853;14.01.2020;1
31226019;14.01.2020;1
31224738;14.01.2020;1
31244892;20.01.2020;1
31228464;20.01.2020;1
31245780;14.01.2020;1
31255209;14.01.2020;1
30333027;20.01.2020;1
31257447;20.01.2020;1
31235574;21.01.2020;1
30288777;15.01.2020;1
31145967;15.01.2020;1
31240368;15.01.2020;1
31222794;21.01.2020;1
31208196;15.01.2020;1
31238757;15.01.2020;1
31259313;15.01.2020;1
31236306;15.01.2020;1
31261275;22.01.2020;1
31253928;22.01.2020;1
31249683;15.01.2020;1
30590031;22.01.2020;1
31230147;15.01.2020;1
30404514;15.01.2020;1
31202688;22.01.2020;3
31245933;22.01.2020;1
31247436;22.01.2020;1
31253040;15.01.2020;1
31222815;22.01.2020;1
30829062;22.01.2020;1
31261791;15.01.2020;1
31237992;22.01.2020;1
31253022;22.01.2020;1
31261434;22.01.2020;1
27418485;22.01.2020;1
31213653;22.01.2020;1
31202856;22.01.2020;1
31235490;22.01.2020;1
31238304;22.01.2020;1
31252455;22.01.2020;1
31244817;22.01.2020;1
31195620;16.01.2020;1
30427566;16.01.2020;1
31290054;16.01.2020;1
31204809;16.01.2020;1
31237260;16.01.2020;1
30832899;23.01.2020;1
31241403;23.01.2020;2
31248294;23.01.2020;1
31258062;16.01.2020;1
31250637;16.01.2020;1
27996447;16.01.2020;1
30060699;23.01.2020;6
31235937;16.01.2020;1
31234041;23.01.2020;1
31284249;23.01.2020;1
31227567;23.01.2020;1
31239684;16.01.2020;1
31190430;23.01.2020;1
31113558;23.01.2020;1
31016469;23.01.2020;1
28115544;23.01.2020;1
31260234;23.01.2020;1
31250286;23.01.2020;1
31247946;23.01.2020;1
27495288;17.01.2020;1
30060699;24.01.2020;2
31246161;24.01.2020;1
31230147;24.01.2020;1
31255317;17.01.2020;1
31231008;24.01.2020;1
30937833;17.01.2020;1
31240059;24.01.2020;1
31237359;24.01.2020;1
31258854;17.01.2020;2
31210530;17.01.2020;1
31237956;24.01.2020;2
31257546;24.01.2020;1
31256190;17.01.2020;1
30354540;24.01.2020;1
31195467;17.01.2020;1
31256853;25.01.2020;1
31236582;25.01.2020;1
31222068;25.01.2020;2
31236705;17.01.2020;1
31236684;25.01.2020;1
31240098;25.01.2020;1
30832899;18.01.2020;1
31233747;25.01.2020;1
30558822;18.01.2020;1
31250631;25.01.2020;1
31249482;18.01.2020;2
31258365;26.01.2020;1
31251420;18.01.2020;1
31214382;26.01.2020;1
31252455;18.01.2020;1
31235883;26.01.2020;1
31231020;26.01.2020;1
31232268;26.01.2020;1
31256301;26.01.2020;1
31229664;26.01.2020;1
31239552;18.01.2020;1
31229658;26.01.2020;1
31248393;26.01.2020;1
31239804;26.01.2020;1
31232532;18.01.2020;1
31241043;18.01.2020;1
31255122;26.01.2020;1
31215450;18.01.2020;1
31188183;26.01.2020;1
31241640;27.01.2020;1
31260372;19.01.2020;1
31206384;27.01.2020;2
30674124;27.01.2020;1
31054803;27.01.2020;1
31234959;19.01.2020;1
31236645;19.01.2020;1
30893037;19.01.2020;2
31241046;19.01.2020;2
27635337;19.01.2020;1
31236486;19.01.2020;1
31225029;19.01.2020;1
31247889;19.01.2020;1
31240272;19.01.2020;1
31245063;05.08.2020;1
31234260;30.07.2020;1
31232448;05.08.2020;1
31223046;05.08.2020;1
31248300;30.07.2020;1
31252662;06.08.2020;1
31231623;30.07.2020;1
31221882;30.07.2020;1
31248114;06.08.2020;1
31240311;31.07.2020;1
31256760;31.07.2020;1
31027575;06.08.2020;1
31255935;06.08.2020;1
31244583;06.08.2020;1
31255329;06.08.2020;1
31184256;31.07.2020;1
31253337;06.08.2020;2
31258746;06.08.2020;2
31245252;06.08.2020;1
31251690;06.08.2020;1
31243224;06.08.2020;1
31231734;06.08.2020;1
31243560;31.07.2020;1
31241307;31.07.2020;1
31254423;06.08.2020;1
31240551;31.07.2020;1
31252872;31.07.2020;1
31214109;31.07.2020;1
31216455;07.08.2020;1
31245780;07.08.2020;1
31230879;07.08.2020;2
31238313;31.07.2020;1
31233876;31.07.2020;1
31224675;07.08.2020;1
31247805;01.08.2020;1
31232337;07.08.2020;2
30597453;07.08.2020;1
31235007;01.08.2020;1
31249608;01.08.2020;1
30753387;07.08.2020;1
31232922;01.08.2020;1
31241160;01.08.2020;1
31241559;01.08.2020;1
31221708;07.08.2020;1
31245723;01.08.2020;1
31232847;07.08.2020;6
31240113;07.08.2020;1
31239036;07.08.2020;6
27996447;07.08.2020;1
31232709;01.08.2020;2
31219224;01.08.2020;6
31230759;01.08.2020;1
31247694;01.08.2020;6
31237680;08.08.2020;2
31237359;08.08.2020;1
31239345;02.08.2020;1
31251777;02.08.2020;1
31236684;02.08.2020;1
31260660;08.08.2020;1
31248909;08.08.2020;1
31232559;08.08.2020;1
31223277;08.08.2020;1
31229328;02.08.2020;1
31159308;02.08.2020;1
28276893;02.08.2020;1
30616761;02.08.2020;1
31226088;02.08.2020;1
31218759;08.08.2020;2
31243224;08.08.2020;1
31248486;08.08.2020;1
31241157;08.08.2020;1
31284576;02.08.2020;1
31237677;09.08.2020;1
31008516;03.08.2020;1
31262133;03.08.2020;6
31213422;03.08.2020;3
31258791;03.08.2020;1
31253703;03.08.2020;15
31246326;03.08.2020;1
31247661;09.08.2020;2
31227867;09.08.2020;6
31231002;09.08.2020;1
30514245;09.08.2020;2
31247766;09.08.2020;3
31243203;09.08.2020;2
31221687;04.08.2020;11
31255035;05.08.2020;1
31229376;10.08.2020;1
31233885;05.08.2020;1
31248915;05.08.2020;1
31237185;10.08.2020;1
31275471;10.08.2020;1
31139085;10.08.2020;1
31254993;10.08.2020;1
31146117;05.08.2020;1
31248114;10.08.2020;1
31248231;11.08.2020;1
31227174;11.08.2020;1
30595821;11.08.2020;1
31239489;16.08.2020;1
31238496;16.08.2020;1
31284576;17.08.2020;2
28230408;17.08.2020;1
31229109;17.08.2020;1
31242882;11.08.2020;1
31215573;11.08.2020;15
31260852;11.08.2020;15
31222638;18.08.2020;15
31238634;18.08.2020;1
31238661;18.08.2020;1
31240641;11.08.2020;1
31234041;18.08.2020;2
31230390;12.08.2020;1
31233378;12.08.2020;1
31281222;12.08.2020;3
31232907;12.08.2020;1
31233966;12.08.2020;2
31235310;12.08.2020;1
31239231;12.08.2020;1
31236660;19.08.2020;1
31248885;12.08.2020;5
31249068;19.08.2020;1
31261011;19.08.2020;1
31222896;19.08.2020;1
31152234;12.08.2020;1
30597453;19.08.2020;1
31245939;19.08.2020;1
31232421;19.08.2020;1
31223883;19.08.2020;1
31020687;19.08.2020;1
31241688;12.08.2020;1
31241052;12.08.2020;1
31252179;12.08.2020;1
31240926;12.08.2020;1
31139085;19.08.2020;1
31218687;19.08.2020;1
31233327;12.08.2020;2
