StudiumID;StudentID;Datum;ects_gathered
31481934;31145961;01.08.2019;20
31481934;31145961;17.10.2019;5
31481949;31145967;24.11.2019;5
31481949;31145967;22.12.2019;5
31481949;31145967;29.12.2019;5
31481949;31145967;12.01.2020;5
31481949;31145967;21.02.2020;5
31481949;31145967;23.02.2020;5
31481949;31145967;19.09.2020;2
31481949;31145967;13.10.2020;2
31481949;31145967;26.11.2020;5
31521570;31176540;14.11.2019;5
31527099;31180947;21.10.2019;5
31527099;31180947;10.12.2019;5
31527600;30129996;04.07.2019;5
31527600;30129996;05.09.2019;10
31527600;30129996;11.09.2019;5
31527600;30129996;18.09.2019;5
31527600;30129996;16.10.2019;5
31527600;30129996;25.10.2019;5
31527600;30129996;29.12.2019;5
31564362;31206009;01.08.2019;5
31564362;31206009;30.08.2019;5
31564362;31206009;19.11.2019;5
31564362;31206009;01.01.2020;5
31564362;31206009;23.03.2020;5
31564362;31206009;21.05.2020;5
31564362;31206009;27.07.2020;5
31564362;31206009;12.08.2020;5
31564362;31206009;10.11.2020;5
31564362;31206009;09.12.2020;5
31564362;31206009;25.01.2021;5
31564362;31206009;22.03.2021;5
31567314;31207341;11.05.2019;70
31568817;30840198;23.06.2019;30
31568817;30840198;23.09.2019;5
31568817;30840198;28.10.2019;10
31568817;30840198;25.11.2019;2
31568817;30840198;23.12.2019;2
31568817;30840198;20.01.2020;2
31568817;30840198;30.03.2020;2
31568817;30840198;27.04.2020;5
31568817;30840198;25.05.2020;2
31568817;30840198;20.06.2020;5
31568817;30840198;22.06.2020;5
31568817;30840198;24.08.2020;5
31568817;30840198;28.09.2020;5
31568817;30840198;05.04.2021;5
31568907;31208013;05.09.2019;5
31568907;31208013;25.09.2019;5
31568907;31208013;28.12.2019;5
31568907;31208013;23.04.2020;5
31568907;31208013;06.05.2020;5
31568907;31208013;16.05.2020;5
31568907;31208013;31.05.2020;5
31568907;31208013;09.07.2020;5
31568907;31208013;22.07.2020;5
31568907;31208013;12.09.2020;5
31568907;31208013;15.03.2021;5
31569636;31208466;12.06.2019;5
31569636;31208466;06.08.2019;5
31569636;31208466;10.09.2019;2
31569636;31208466;20.11.2019;5
31569636;31208466;03.12.2019;2
31569636;31208466;26.12.2019;5
31569636;31208466;30.01.2020;10
31569636;31208466;09.02.2020;5
31569636;31208466;14.06.2020;5
31569636;31208466;19.06.2020;5
31569636;31208466;16.10.2020;5
31571700;31209471;29.07.2019;5
31571700;31209471;01.09.2019;2
31571700;31209471;15.12.2019;5
31571700;31209471;04.02.2020;2
31571700;31209471;19.05.2020;5
31571700;31209471;27.05.2020;5
31571700;31209471;19.06.2020;5
31571700;31209471;26.11.2020;5
31571700;31209471;09.12.2020;5
31573320;31209948;19.08.2020;5
31573320;31209948;11.10.2020;5
31575570;31210863;18.05.2019;35
31575570;31210863;05.07.2019;5
31575570;31210863;25.07.2019;2
31575570;31210863;19.08.2019;5
31575570;31210863;04.09.2019;5
