StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31600509;31222461;07.05.2019;50;f;Bachelor International Management berufsbegleitend;90;06.05.2021
31679100;31258011;20.07.2019;30;f;Fernstudium Bachelor of Arts Public Relations;180;20.04.2021
31631508;31237821;25.05.2019;28;f;Fernstudium Bachelor of Arts Pflegemanagement;180;07.04.2021
31685331;31261038;01.08.2019;26;m;Fernstudium Bachelor of Arts Pflegepädagogik;120;07.04.2021
31655100;31018401;27.06.2019;27;f;Fernstudium Bachelor of Arts Physiotherapie;180;07.04.2021
31637655;31240953;05.06.2019;30;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;06.04.2021
31618899;31231131;08.05.2019;26;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;06.04.2021
31657770;31249683;29.06.2019;30;f;Fernstudium Bachelor of Arts Eventmanagement;180;05.04.2021
31638789;31241472;05.06.2019;22;f;Betriebswirt;180;05.04.2021
31642431;30545223;10.07.2019;23;f;Bachelor Personalmanagement berufsbegleitend;180;04.04.2021
31677147;31257015;18.07.2019;25;f;Fernstudium Bachelor of Arts Architektur 240 ECTS;180;03.04.2021
31651773;31247112;22.06.2019;26;f;Fernstudium Bachelor of Arts Pflegemanagement;180;02.04.2021
31602396;31223283;07.06.2019;26;f;Bachelor Personalmanagement berufsbegleitend;180;02.04.2021
31643727;30805350;12.06.2019;30;f;Fernstudium Bachelor of Arts Public Relations;180;01.04.2021
31638378;31241289;07.06.2019;36;f;Fernstudium Bachelor of Arts Sozialmanagement;180;30.03.2021
31654335;31248162;26.06.2019;28;m;Fernstudium Bachelor of Science Medieninformatik;180;29.03.2021
31658904;31250238;30.06.2019;26;m;Fernstudium Bachelor of Science Medieninformatik;180;28.03.2021
31601784;30902403;07.07.2019;24;f;Bachelor Psychologie berufsbegleitend;180;28.03.2021
31624947;31234332;07.06.2019;40;f;Fernstudium Bachelor of Arts Modemanagement;180;28.03.2021
31600812;31222575;07.05.2019;22;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;25.03.2021
31615134;31229046;07.05.2019;46;f;Fernstudium Bachelor of Arts Modemanagement;180;23.03.2021
31623411;31233435;06.06.2019;27;f;Personalmanagement;180;18.03.2021
31628613;31236276;22.05.2019;29;f;Fernstudium Bachelor of Arts Physiotherapie;180;18.03.2021
31653072;31247709;23.06.2019;26;m;Fernstudium Bachelor of Arts Fitnessökonomie;210;18.03.2021
31655691;31248768;27.06.2019;43;m;FlexLearning Bachelor Modell;180;16.03.2021
31626252;31218987;07.06.2019;21;f;Bachelor Health Care Management berufsbegleitend;180;16.03.2021
31685517;31261137;01.08.2019;26;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;14.03.2021
31646424;31244943;14.06.2019;24;f;Fernstudium Bachelor of Arts Pflegemanagement;180;14.03.2021
31638282;30615765;07.06.2019;27;m;Zusatzmodule DS;180;12.03.2021
31635105;31210371;01.06.2019;37;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;11.03.2021
31686195;31261485;02.08.2019;27;m;Fernstudium Bachelor of Science Medieninformatik;180;11.03.2021
31679709;31258281;21.07.2019;30;f;Bachelor Psychologie berufsbegleitend;180;11.03.2021
31661745;31251369;06.07.2019;37;m;Orientierungsstudium Bachelor of Arts E-Commerce;180;11.03.2021
31640841;30798120;07.06.2019;27;f;Bachelor Psychologie berufsbegleitend;180;09.03.2021
31598295;31221450;07.05.2019;28;m;Betriebswirt Gesundheitsmanagement;180;08.03.2021
31646403;30525201;14.06.2019;33;f;Zusatzmodule DS;180;07.03.2021
31640808;31242378;07.06.2019;22;f;Tourismuswirtschaft;180;05.03.2021
